layer_name,resnet50_avr,blurpool_avr
conv1,1.0,1.0
layer2.0.conv2,0.03569029041374264,0.004647517234345731
layer2.0.downsample.0,0.005204437804276758,0.005255236006588673
layer3.0.conv2,0.06372391655653914,0.007720424798971932
layer3.0.downsample.0,0.012317942249533387,0.007456514778468648
layer4.0.conv2,0.07014070229071354,0.019887673506182774
layer4.0.downsample.0,0.02669016087058156,0.02218806587129426
