layer_name,resnet50_mean,resnet50_std,blurpool_mean,blurpool_std,t_stat,p_val
conv1,0.002053002618764544,0.0014615733170216738,0.002053002618764544,0.0014615733170216738,0.0,1.0
layer2.0.conv2,0.1373227975414793,0.021553310935629087,0.00959057706629685,0.0030160072978045577,185.5061561253874,0.0
layer2.0.downsample.0,0.024923074028426914,0.008235284625645599,0.011769830249275231,0.0036851124680872885,46.07904818071648,0.0
layer3.0.conv2,0.2946699253895536,0.02432760192444534,0.015090091328608928,0.0038015639978857835,358.88102443711665,0.0
layer3.0.downsample.0,0.09207452754170574,0.012274048502853295,0.018202395637519634,0.004576881918199557,178.23976045715614,0.0
layer4.0.conv2,0.29335635440875396,0.029803603135740868,0.026569971741411173,0.0058192060948592484,277.68548026411827,0.0
layer4.0.downsample.0,0.14146678462641182,0.012509418853679831,0.02809516751388849,0.00614779771015871,257.0821636699219,0.0
