layer_name,resnet50_r,resnet50_r2,resnet50_p,blurpool_r,blurpool_r2,blurpool_p
conv1,0.09317724575810965,0.008681999127067163,0.0031853985626417993,-0.01663677384856216,0.00027678224408820174,0.5992500083850564
layer2.0.conv2,0.11613307979195038,0.013486892221963514,0.0002329446876873846,0.07180489335054473,0.005155942709083102,0.02316140353428737
layer2.0.downsample.0,0.06035847857475261,0.0036431459358588695,0.05638407457291303,0.05243661808127301,0.002749598915801288,0.09746737821314425
layer3.0.conv2,0.08999717952335498,0.008099492322158985,0.004396969127160451,0.04453689302517787,0.001983534840336137,0.1593333933263436
layer3.0.downsample.0,0.03818984556133679,0.0014584643039987552,0.2275867396511186,0.06918271621500445,0.00478624822288584,0.028696211771199374
layer4.0.conv2,0.08422349811344479,0.007093597634465438,0.007703740604408098,0.10667434038327733,0.011379414896207312,0.0007281229132410107
layer4.0.downsample.0,0.005089999836086674,2.590809833136237e-05,0.8722827038077119,0.04934962863542508,0.002435385846454367,0.11886135617441496
