layer,resnet50_avr,blurpool_avr,avr_diff,sis_resnet,sis_blurpool,sis_reduction_pct,resnet_acc,blurpool_acc,resnet_time_ms,blurpool_time_ms,time_overhead_pct
conv1,0.0036226944053254,0.0036226944053254,0.0,0.022941451251506807,0.013813896864652633,39.78629898688153,0.0,0.0,2.35221834375011,2.797822562499732,18.94399896734083
layer2.0.conv2,0.3119308569556019,0.3973691261093987,-0.08543826915379676,0.022941451251506807,0.013813896864652633,39.78629898688153,0.0,0.0,2.35221834375011,2.797822562499732,18.94399896734083
layer2.0.downsample.0,0.0541630436666311,0.1588603208929141,-0.104697277226283,0.022941451251506807,0.013813896864652633,39.78629898688153,0.0,0.0,2.35221834375011,2.797822562499732,18.94399896734083
layer3.0.conv2,0.3874548505557681,0.3605100107683369,0.02694483978743123,0.022941451251506807,0.013813896864652633,39.78629898688153,0.0,0.0,2.35221834375011,2.797822562499732,18.94399896734083
layer3.0.downsample.0,0.1327807612682139,0.3408992393607694,-0.2081184780925555,0.022941451251506807,0.013813896864652633,39.78629898688153,0.0,0.0,2.35221834375011,2.797822562499732,18.94399896734083
layer4.0.conv2,0.3406578332508274,0.3258425496925354,0.01481528355829198,0.022941451251506807,0.013813896864652633,39.78629898688153,0.0,0.0,2.35221834375011,2.797822562499732,18.94399896734083
layer4.0.downsample.0,0.1710319750383057,0.4100254491815739,-0.23899347414326821,0.022941451251506807,0.013813896864652633,39.78629898688153,0.0,0.0,2.35221834375011,2.797822562499732,18.94399896734083
